cognitive_domain,games,participants,total_plays,mean_average_score,median_average_score,std_average_score,mean_best_score,median_best_score,mean_average_percent,median_average_percent,mean_best_percent,median_best_percent
Attention,6,45,426,0.5259,0.5634,0.3153,0.5909,0.6172,52.5866,56.335,59.0876,61.715
Learning,4,42,209,0.4256,0.4159,0.2646,0.502,0.4989,42.5619,41.59,50.203,49.89
Memory,11,45,623,0.5037,0.5211,0.2846,0.5757,0.575,50.3697,52.11,57.5711,57.5
Perception,4,35,210,0.5083,0.48,0.2911,0.5717,0.57,50.8332,48.0,57.1735,57.0
Reasoning,5,41,215,0.5079,0.5242,0.2844,0.5697,0.5653,50.7919,52.425,56.9712,56.53
Reflex,8,44,458,0.5295,0.5275,0.3137,0.5909,0.6208,52.9541,52.75,59.0882,62.085
