player_id,domain,domain_best_performance,domain_average_performance,games_in_domain,age,weekly_gaming_hours,sleep_hours_last_night
3477a1f7-268c-4987-8614-5a1ac6bbbfec,Attention,44.372,44.372,5,30,20,6
3477a1f7-268c-4987-8614-5a1ac6bbbfec,Learning,45.17333333333333,45.17333333333333,3,30,20,6
3477a1f7-268c-4987-8614-5a1ac6bbbfec,Memory,49.66875,48.712500000000006,8,30,20,6
3477a1f7-268c-4987-8614-5a1ac6bbbfec,Perception,49.52333333333333,44.19,3,30,20,6
3477a1f7-268c-4987-8614-5a1ac6bbbfec,Reasoning,52.5,45.56,4,30,20,6
3477a1f7-268c-4987-8614-5a1ac6bbbfec,Reflex,45.84875,44.28625,8,30,20,6
354e20d4-599b-42fc-a2b0-122ca4feb2d9,Attention,53.796,52.878,5,25,35,5
354e20d4-599b-42fc-a2b0-122ca4feb2d9,Learning,54.12999999999999,54.12999999999999,2,25,35,5
354e20d4-599b-42fc-a2b0-122ca4feb2d9,Memory,54.63,53.12571428571429,7,25,35,5
354e20d4-599b-42fc-a2b0-122ca4feb2d9,Perception,55.203333333333326,52.870000000000005,3,25,35,5
354e20d4-599b-42fc-a2b0-122ca4feb2d9,Reasoning,55.08666666666667,55.08666666666667,3,25,35,5
354e20d4-599b-42fc-a2b0-122ca4feb2d9,Reflex,53.620000000000005,53.44333333333333,6,25,35,5
364223cd-b583-4eeb-87c7-478c7c0debf4,Attention,56.279999999999994,56.279999999999994,2,33,5,7
364223cd-b583-4eeb-87c7-478c7c0debf4,Learning,80.27,75.855,2,33,5,7
364223cd-b583-4eeb-87c7-478c7c0debf4,Memory,56.55142857142857,50.56285714285714,7,33,5,7
364223cd-b583-4eeb-87c7-478c7c0debf4,Perception,60.0,45.879999999999995,1,33,5,7
364223cd-b583-4eeb-87c7-478c7c0debf4,Reasoning,82.575,78.16000000000001,2,33,5,7
364223cd-b583-4eeb-87c7-478c7c0debf4,Reflex,70.39666666666666,70.39666666666666,3,33,5,7
36f8a2f6-7625-4ceb-aca1-6949807b6339,Attention,66.55499999999999,59.224999999999994,2,24,0,7
36f8a2f6-7625-4ceb-aca1-6949807b6339,Learning,65.71000000000001,62.86000000000001,1,24,0,7
36f8a2f6-7625-4ceb-aca1-6949807b6339,Memory,67.78,57.78,1,24,0,7
36f8a2f6-7625-4ceb-aca1-6949807b6339,Perception,63.27,63.27,1,24,0,7
36f8a2f6-7625-4ceb-aca1-6949807b6339,Reasoning,68.57,60.465,2,24,0,7
36f8a2f6-7625-4ceb-aca1-6949807b6339,Reflex,63.0525,59.262499999999996,4,24,0,7
3b1b8792-4d96-47cb-ab4b-86aae21e1ace,Attention,70.63833333333335,67.65500000000002,6,18,0,5
3b1b8792-4d96-47cb-ab4b-86aae21e1ace,Learning,67.22749999999999,63.3175,4,18,0,5
3b1b8792-4d96-47cb-ab4b-86aae21e1ace,Memory,67.94727272727272,62.71545454545454,11,18,0,5
3b1b8792-4d96-47cb-ab4b-86aae21e1ace,Perception,77.3025,68.76249999999999,4,18,0,5
3b1b8792-4d96-47cb-ab4b-86aae21e1ace,Reasoning,54.052,50.684000000000005,5,18,0,5
3b1b8792-4d96-47cb-ab4b-86aae21e1ace,Reflex,61.79625,59.830000000000005,8,18,0,5
42e366fd-7fbd-4312-ae4b-f4856249d7b5 (1),Attention,57.75,54.92399999999999,5,25,28,7
42e366fd-7fbd-4312-ae4b-f4856249d7b5 (1),Learning,61.42999999999999,50.0,1,25,28,7
42e366fd-7fbd-4312-ae4b-f4856249d7b5 (1),Memory,56.67333333333333,56.67333333333333,6,25,28,7
42e366fd-7fbd-4312-ae4b-f4856249d7b5 (1),Perception,54.816666666666656,54.816666666666656,3,25,28,7
42e366fd-7fbd-4312-ae4b-f4856249d7b5 (1),Reasoning,59.145,59.145,2,25,28,7
42e366fd-7fbd-4312-ae4b-f4856249d7b5 (1),Reflex,57.809999999999995,55.455,6,25,28,7
45eac662-3ea6-4f0a-a327-18910895411d,Attention,75.33,70.67,1,30,22,9
45eac662-3ea6-4f0a-a327-18910895411d,Learning,87.84333333333333,80.83666666666667,3,30,22,9
45eac662-3ea6-4f0a-a327-18910895411d,Memory,72.30000000000001,72.30000000000001,2,30,22,9
45eac662-3ea6-4f0a-a327-18910895411d,Perception,82.55,66.91,1,30,22,9
45eac662-3ea6-4f0a-a327-18910895411d,Reasoning,87.325,80.22,2,30,22,9
45eac662-3ea6-4f0a-a327-18910895411d,Reflex,80.58,74.08500000000001,2,30,22,9
