favorite_genre,participants,mean_performance,median_performance,mean_games_played,mean_total_plays,mean_performance_percent,median_performance_percent
Action,25,0.534395027428874,0.5422333333333333,15.08,33.6,53.4395027428874,54.223333333333336
Puzzle,7,0.49336627967270824,0.43647142857142857,13.285714285714286,24.714285714285715,49.33662796727082,43.64714285714285
RPG,2,0.5218791666666667,0.5218791666666667,15.5,25.5,52.187916666666666,52.187916666666666
Stealth,14,0.5342074392345332,0.5539319047619048,13.5,27.142857142857142,53.420743923453315,55.393190476190476
Strategy,5,0.6458100700483091,0.6454799999999999,11.2,31.8,64.58100700483091,64.54799999999999
