player_id,age,gender,country,favorite_genre,weekly_gaming_hours,sleep_hours_last_night,games_played,total_plays,mean_average_score,median_average_score,std_average_score,mean_best_score,median_best_score,mean_best_average_gap,mean_average_percent,median_average_percent,mean_best_percent,mean_best_average_gap_percent
9208b64b-3197-42c2-ae8d-f6528747ccd5,32,Male,Bangladesh,Strategy,28,5,15,28,0.6455,0.675,0.1208,0.712,0.7125,0.0665,64.548,67.5,71.2007,6.6527
92cd5243-d6ad-464c-9a4f-b3998fa12823,32,Male,Bangladesh,Stealth,16,12,13,27,0.5805,0.5263,0.1353,0.6385,0.635,0.0579,58.0508,52.63,63.8454,5.7946
92ec5e80-9c5e-4c54-8741-2155600d414b,18,Male,Bangladesh,Action,20,6,23,45,0.4572,0.4412,0.0499,0.4925,0.5,0.0353,45.7226,44.12,49.2535,3.5309
9751f248-ddc4-463f-bc1b-bec70fac7665,19,Male,Bangladesh,Action,1,12,9,15,0.4973,0.49,0.0293,0.5173,0.528,0.02,49.7333,49.0,51.7333,2.0
9759c076-e161-4729-be6c-6bd12de352d7,26,Male,Bangladesh,Action,45,6,14,15,0.6034,0.5861,0.0457,0.6132,0.6004,0.0098,60.345,58.61,61.325,0.98
b2438e5a-3695-481a-b632-6eb4d36951c6,23,Male,Bangladesh,Puzzle,1,6,20,38,0.5548,0.5466,0.0452,0.5754,0.5838,0.0207,55.4755,54.66,57.545,2.0695
b39e2975-afda-44c3-a522-dd04297fb7f4,19,Male,Bangladesh,Action,45,2,18,43,0.3098,0.309,0.0428,0.3592,0.3538,0.0494,30.98,30.895,35.9206,4.9406
bd46da7d-cd0f-46ad-9cde-ea710c04a03e,25,Male,Bangladesh,Action,0,5,20,27,0.5257,0.524,0.0516,0.5431,0.556,0.0174,52.569,52.4,54.314,1.745
c3f06e5c-6d66-481d-992a-6c0e6e0fb675,32,Male,Bangladesh,Puzzle,30,12,11,27,0.3543,0.375,0.0504,0.3981,0.396,0.0437,35.4327,37.5,39.8073,4.3745
c3fd7050-c00a-40a6-9f8d-e0604919e838,24,Male,Bangladesh,Action,30,9,23,43,0.7268,0.7286,0.0942,0.775,0.7789,0.0482,72.68,72.86,77.4952,4.8152
cd35c371-0797-4e9c-8e4f-a32f7f8d8568,33,Male,Bangladesh,Puzzle,28,14,13,20,0.3338,0.332,0.0258,0.3428,0.352,0.009,33.3777,33.2,34.2754,0.8977
d729b756-1f75-49ad-b6a9-9c3b53c6f070,27,Male,Bangladesh,Action,2,11,7,19,0.5406,0.5512,0.0353,0.5765,0.588,0.0359,54.0586,55.12,57.6457,3.5871
fc001865-08c0-43c1-ac15-a62bd7a75886,20,Male,Bangladesh,Puzzle,25,2,7,12,0.4365,0.4353,0.054,0.4398,0.4588,0.0034,43.6471,43.53,43.9829,0.3357
