country,participants,mean_performance,median_performance,mean_games_played,mean_total_plays,mean_performance_percent,median_performance_percent
Bangladesh,46,0.49209939909206446,0.47931818181818187,13.304347826086957,29.5,49.20993990920645,47.93181818181819
Cameroon,1,0.29793749999999997,0.29793749999999997,16.0,26.0,29.793749999999996,29.793749999999996
