game_id,game_title,participants,mean_play_count,median_play_count,max_play_count,mean_average_score,mean_best_score,mean_best_average_gap,mean_average_percent,mean_best_percent,mean_best_average_gap_percent
0,Cipher Rush,40,2.075,1.0,13,0.5295,0.5607,0.031199999999999988,52.949999999999996,56.07,3.1199999999999988
1,Match-a-Mole,33,1.8181818181818181,1.0,7,0.535960606060606,0.5644424242424242,0.02848181818181818,53.596060606060604,56.44424242424242,2.848181818181818
2,"Good Guy, Bad Guy",35,2.342857142857143,1.0,10,0.5041428571428571,0.5524285714285715,0.048285714285714286,50.41428571428571,55.24285714285715,4.828571428571428
3,Feed The Fishes,33,1.6666666666666667,1.0,6,0.5047151515151516,0.5478090909090909,0.04309393939393939,50.471515151515156,54.78090909090909,4.3093939393939396
4,Train of Thoughts,35,1.6285714285714286,1.0,6,0.5177142857142858,0.559,0.04128571428571428,51.77142857142858,55.900000000000006,4.128571428571428
5,Match The Notes,27,1.6666666666666667,1.0,7,0.5546296296296296,0.5801851851851851,0.025555555555555554,55.46296296296296,58.01851851851851,2.5555555555555554
6,Wordify,31,2.064516129032258,1.0,7,0.5341064516129033,0.576041935483871,0.04193548387096774,53.410645161290326,57.604193548387094,4.193548387096774
7,Find Me If You Can,27,2.8518518518518516,1.0,20,0.5054555555555555,0.5583814814814815,0.05292592592592592,50.54555555555555,55.83814814814815,5.292592592592592
8,Word Reveal,28,2.9285714285714284,1.0,20,0.5264642857142857,0.5712178571428571,0.044753571428571434,52.64642857142857,57.121785714285714,4.475357142857144
9,Precision Product,26,2.3076923076923075,1.0,20,0.5275192307692308,0.5682076923076923,0.04068846153846154,52.75192307692308,56.82076923076923,4.068846153846154
10,Sequence Grid,30,1.7333333333333334,1.0,5,0.5093333333333334,0.5556666666666668,0.046333333333333324,50.933333333333344,55.56666666666668,4.633333333333332
11,Perception Match,30,2.2,1.0,13,0.5298666666666667,0.5660000000000001,0.03613333333333334,52.98666666666667,56.60000000000001,3.6133333333333337
12,"Faster, Please",29,2.5517241379310347,1.0,10,0.5163793103448275,0.5643103448275861,0.047931034482758615,51.637931034482754,56.43103448275861,4.793103448275861
13,Wordle,29,2.3448275862068964,1.0,13,0.5588241379310345,0.6137896551724138,0.054965517241379304,55.882413793103446,61.37896551724138,5.49655172413793
14,Word Bubble,34,2.1176470588235294,1.0,12,0.5589705882352941,0.6100000000000001,0.05102941176470588,55.89705882352941,61.00000000000001,5.102941176470588
15,Sequence Match,28,2.0,1.0,10,0.5120535714285714,0.5513392857142857,0.03928571428571428,51.205357142857146,55.13392857142857,3.928571428571428
16,Verbal Memory,31,2.2903225806451615,1.0,13,0.5258064516129033,0.5794838709677419,0.05367741935483871,52.58064516129033,57.94838709677419,5.367741935483871
17,Number Memory,28,2.0357142857142856,1.0,13,0.5531428571428572,0.5865714285714285,0.033428571428571426,55.31428571428572,58.65714285714285,3.3428571428571425
18,Stop The Clock,29,2.413793103448276,1.0,13,0.5385,0.5713482758620689,0.03284827586206896,53.849999999999994,57.134827586206896,3.2848275862068963
19,Odd One Out,30,2.2,1.0,13,0.5485666666666666,0.5900933333333334,0.04152666666666665,54.85666666666666,59.00933333333334,4.152666666666665
30,Level 1,31,2.4838709677419355,2.0,10,0.5463548387096775,0.5765774193548386,0.03022258064516129,54.63548387096775,57.65774193548386,3.022258064516129
31,Level 2,23,2.4782608695652173,1.0,20,0.4973913043478261,0.5478260869565217,0.05043478260869565,49.73913043478261,54.78260869565217,5.0434782608695645
32,Level 3,25,2.32,1.0,10,0.523284,0.562344,0.03905999999999999,52.328399999999995,56.234399999999994,3.9059999999999993
33,Level 4,28,1.75,1.0,5,0.5699357142857143,0.6142785714285715,0.04434285714285714,56.993571428571435,61.42785714285714,4.434285714285714
34,Level 5,26,1.7307692307692308,1.0,7,0.5520153846153846,0.5947307692307692,0.042715384615384606,55.201538461538455,59.47307692307692,4.27153846153846
